,Book_Title,Author,Publisher,Published_Date,ISBN_10,ISBN_13,Page_Count,Average_Rating,Rating_Count,Sale_Country,Sale_Amount,Sale_Currency
0,A Tale of Two Cities,['Charles Dickens'],,1902,0791092933,9780791092934,324,4,160,US,,
1,Charles Dickens's A Tale of Two Cities,['Harold Bloom'],Infobase Publishing,2007-01,1853260398,9781853260391,131,,,,,
2,A Tale of Two Cities,['Charles Dickens'],Wordsworth Editions,1993,041528760X,9780415287609,307,3.5,3,,,
3,Charles Dickens's A Tale of Two Cities,['Ruth F. Glancy'],Psychology Press,2006,087891949X,9780878919499,174,,,,,
4,Works of Charles Dickens: A tale of two cities,['Charles Dickens'],,1867,1650377665,9781650377667,,,,,,
5,Charles Dickens' A Tale of Two Cities,['Jeffrey Karnicky'],Research & Education Assoc.,1994,1580495974,9781580495974,112,,,US,,
6,A Tale of Two Cities,['Dickens (Charles)'],,1874,0237540983,9780237540982,176,5,1,,,
13,The Little Prince,"['Antoine de Saint-Exupéry', 'Irene Testot-Ferry']",Wordsworth Editions,1995-01-01,1853261580,9781853261589,109,4,2068,,,
14,The Little Prince,"['Antoine de Saint-Exupéry', 'General Press']",GENERAL PRESS,2018-05-19,9387669661,9789387669666,136,4,5,US,0.2,USD
15,The Little Prince,['Antoine de Saint-Exupery'],Strelbytskyy Multimedia Publishing,2018-06-06,1938412478,9781938412479,,5,1,US,0.43,USD
16,The Little Prince by Antoine de Saint-Exupéry,['Antoine de Saint-Exupéry'],Classics Press,2019-11-04,1583421955,9781583421956,117,,,US,0.99,USD
17,The Little Prince,"['Rick Cummins', 'John Scoular', 'Antoine de Saint-Exupéry']",Dramatic Publishing,1999-07,1514643006,9781514643006,128,4.5,6,,,
18,The Little Prince,['Antoine de Saint Eupery'],CreateSpace,2015-06-21,1786828715,9781786828712,68,4,1909,,,
19,The Little Prince,['Inua Ellams'],Oberon Books,2020-01-20,1645740110,9781645740117,64,,,,,
20,The Little Prince for Young Children,['Antoine de Saint-Exupéry'],,2019-05-03,0544699599,9780544699595,42,,,,,
21,Counting with the Little Prince,['Antoine De Saint-Exupery'],HMH Books For Young Readers,2015-10-13,1466869526,9781466869523,10,,,,,
23,The Lord of the Rings,['J.R.R. Tolkien'],Houghton Mifflin Harcourt,2012-02-15,0547951949,9780547951942,1216,4.5,70,US,16.99,USD
