,Book_Name,Author_Name,Original language,First published,Copies_sold
0,A Tale of Two Cities,Charles Dickens,English,1859,200 Million
1,The Little Prince (Le Petit Prince),Antoine de Saint-Exupéry,French,1943,150 Million
2,The Lord of the Rings,J. R. R. Tolkien,English,1954,150 Million
3,The Hobbit,J. R. R. Tolkien,English,1937,150 Million
4,Harry Potter and the Philosopher's Stone,J. K Rowling,English,1997,120 Million
5,And Then There Were None,Agatha Christie,English,1939,100 Million
6,Dream of the Red Chamber (紅樓夢),Cao Xueqin,Chinese,1791,100 Million
7,"The Lion, the Witch and the Wardrobe",C. S. Lewis,English,1950,85 Million
8,She: A History of Adventure,H. Rider Haggard,English,1887,83 Million
9,The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,Italian,1881,>80 Million
10,The Da Vinci Code,Dan Brown,English,2003,80 Million
11,Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,77 Million
12,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,1999,65 Million
13,Harry Potter and the Goblet of Fire,J. K. Rowling,English,2000,65 Million
14,Harry Potter and the Order of the Phoenix,J. K. Rowling,English,2003,65 Million
15,Harry Potter and the Half-Blood Prince,J. K. Rowling,English,2005,65 Million
16,Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,65 Million
17,The Alchemist (O Alquimista),Paulo Coelho,Portuguese,1988,65 Million
18,The Catcher in the Rye,J. D. Salinger,English,1951,65 Million
19,The Bridges of Madison County,Robert James Waller,English,1992,60 Million
20,Ben-Hur: A Tale of the Christ,Lew Wallace,English,1880,50 Million
21,You Can Heal Your Life,Louise Hay,English,1984,50 Million
22,One Hundred Years of Solitude (Cien años de soledad),Gabriel García Márquez,Spanish,1967,50 Million
23,Lolita,Vladimir Nabokov,English,1955,50 Million
24,Heidi,Johanna Spyri,Swiss German,1880,50 Million
25,The Common Sense Book of Baby and Child Care,Dr. Benjamin Spock,English,1946,50 Million
26,Anne of Green Gables,Lucy Maud Montgomery,English,1908,50 Million
27,Black Beauty,Anna Sewell,English,1877,50 Million
28,The Name of the Rose (Il Nome della Rosa),Umberto Eco,Italian,1980,50 Million
29,The Eagle Has Landed,Jack Higgins,English,1975,50 Million
30,Watership Down,Richard Adams,English,1972,50 Million
31,The Hite Report,Shere Hite,English,1976,50 Million
32,Charlotte's Web,E. B. White; illustrated by Garth Williams,English,1952,50 Million
33,The Ginger Man,J. P. Donleavy,English,1955,50 Million
34,The Tale of Peter Rabbit,Beatrix Potter,English,1902,45 Million
35,Jonathan Livingston Seagull,Richard Bach,English,1970,44 Million
36,The Very Hungry Caterpillar,Eric Carle,English,1969,43 Million
37,A Message to Garcia,Elbert Hubbard,English,1899,40 Million
38,To Kill a Mockingbird,Harper Lee,English,1960,40 Million
39,Flowers in the Attic,V. C. Andrews,English,1979,40 Million
40,Cosmos,Carl Sagan,English,1980,40 Million
41,Sophie's World (Sofies verden),Jostein Gaarder,Norwegian,1991,40 Million
42,Angels & Demons,Dan Brown,English,2000,39 Million
43,Kane and Abel,Jeffrey Archer,English,1979,37 Million
44,How the Steel Was Tempered (Как закалялась сталь),Nikolai Ostrovsky,Russian,1932,36.4 Million
45,War and Peace (Война и мир),Leo Tolstoy,Russian,1869,36.0 Million
46,The Diary of Anne Frank (Het Achterhuis),Anne Frank,Dutch,1947,35 Million
47,Your Erroneous Zones,Wayne Dyer,English,1976,35 Million
48,The Thorn Birds,Colleen McCullough,English,1977,33 Million
49,The Purpose Driven Life,Rick Warren,English,2002,33 Million
50,The Kite Runner,Khaled Hosseini,English,2003,31.5 Million
51,Valley of the Dolls,Jacqueline Susann,English,1966,31 Million
52,The Great Gatsby,F. Scott Fitzgerald,English,1925,30 Million
53,Gone with the Wind,Margaret Mitchell,English,1936,30 Million
54,Rebecca,Daphne du Maurier,English,1938,30 Million
55,Nineteen Eighty-Four,George Orwell,English,1949,30 Million
56,The Revolt of Mamie Stover,William Bradford Huie,English,1951,30 Million
57,The Girl with the Dragon Tattoo (Män som hatar kvinnor),Stieg Larsson,Swedish,2005,30 Million
58,The Lost Symbol,Dan Brown,English,2009,30 Million
59,The Hunger Games,Suzanne Collins,English,2008,29 Million
60,The Young Guard (Молодая гвардия),Alexander Alexandrovich Fadeyev,Russian,1945,26 Million
61,Who Moved My Cheese?,Spencer Johnson,English,1998,26 Million
62,A Brief History of Time,Stephen Hawking,English,1988,25 Million
63,Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,25 Million
64,Lust for Life,Irving Stone,English,1934,25 Million
65,The Wind in the Willows,Kenneth Grahame,English,1908,25 Million
66,The 7 Habits of Highly Effective People,Stephen R. Covey,English,1989,25 Million
67,Virgin Soil Upturned (Поднятая целина),Mikhail Sholokhov,Russian,1935,24 Million
68,The Celestine Prophecy,James Redfield,English,1993,23 Million
69,The Fault in Our Stars,John Green,English,2012,23 Million
70,The Shack,William P. Young,English,2007,22 Million
71,Uncle Styopa (Дядя Степа),Sergey Mikhalkov,Russian,1936,21 Million
72,The Godfather,Mario Puzo,English,1969,21 Million
73,Love Story,Erich Segal,English,1970,21 Million
74,Catching Fire,Suzanne Collins,English,2009,21 Million
75,Mockingjay,Suzanne Collins,English,2010,20 Million
76,Kitchen,Banana Yoshimoto,Japanese,1988,20 Million
77,Andromeda Nebula,Ivan Yefremov,Russian,1957,20 Million
78,Autobiography of a Yogi,Paramahansa Yogananda,Hindi,1946,20 Million
79,Gone Girl,Gillian Flynn,English,2012,20 Million
80,The Girl on the Train,Paula Hawkins,English,2015,20 Million
81,All Quiet on the Western Front (Im Westen nichts Neues),Erich Maria Remarque,German,1929,20 Million
82,The Bermuda Triangle,Charles Berlitz,English,1974,20 Million
83,Things Fall Apart,Chinua Achebe,English,1958,20 Million
84,Animal Farm,George Orwell,English,1945,20 Million
85,Wolf Totem (狼图腾),Jiang Rong,Chinese,2004,20 Million
86,The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,20 Million
87,Jaws,Peter Benchley,English,1974,20 Million
88,Love You Forever,Robert Munsch,English,1986,20 Million
89,The Women's Room,Marilyn French,English,1977,20 Million
90,What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,English,1984,20 Million
91,Adventures of Huckleberry Finn,Mark Twain,English,1885,20 Million
92,"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,English,1982,20 Million
93,Pride and Prejudice,Jane Austen,English,1813,20 Million
94,Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,Norwegian,1950,20 Million
95,The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),Jaroslav Hašek,Czech,1923,20 Million
96,Where the Wild Things Are,Maurice Sendak,English,1963,20 Million
97,The Power of Positive Thinking,Norman Vincent Peale,English,1952,20 Million
98,The Secret,Rhonda Byrne,English,2006,20 Million
99,Fear of Flying,Erica Jong,English,1973,20 Million
100,Dune,Frank Herbert,English,1965,20 Million
101,Charlie and the Chocolate Factory,Roald Dahl,English,1964,20 Million
102,The Naked Ape,Desmond Morris,English,1968,20 Million
103,"Totto-chan, the Little Girl at the Window (窓ぎわのトットちゃん)",Tetsuko Kuroyanagi,Japanese,1981,18 Million
104,Matilda,Roald Dahl,English,1988,17 Million
105,The Book Thief,Markus Zusak,English,2005,16 Million
106,The Horse Whisperer,Nicholas Evans,English,1995,16 Million
107,Goodnight Moon,Margaret Wise Brown,English,1947,16 Million
108,The Neverending Story (Die unendliche Geschichte),Michael Ende,German,1979,16 Million
109,Fifty Shades of Grey,E. L. James,English,2011,15.2 Million
110,The Outsiders,S. E. Hinton,English,1967,15 Million
111,Guess How Much I Love You,Sam McBratney,English,1994,15 Million
112,Shōgun,James Clavell,English,1975,15 Million
113,The Poky Little Puppy,Janette Sebring Lowrey,English,1942,15 Million
114,The Pillars of the Earth,Ken Follett,English,1989,15 Million
115,How to Win Friends and Influence People,Dale Carnegie,English,1936,15 Million
116,Perfume (Das Parfum),Patrick Süskind,German,1985,15 Million
117,The Grapes of Wrath,John Steinbeck,English,1939,15 Million
118,The Shadow of the Wind (La sombra del viento),Carlos Ruiz Zafón,Spanish,2001,15 Million
119,Interpreter of Maladies,Jhumpa Lahiri,English,2000,15 Million
120,The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,14 Million
121,Tuesdays with Morrie,Mitch Albom,English,1997,14 Million
122,God's Little Acre,Erskine Caldwell,English,1933,14 Million
123,Follow Your Heart (Va' dove ti porta il cuore),Susanna Tamaro,Italian,1994,14 Million
124,A Wrinkle in Time,Madeleine L'Engle,English,1962,14 Million
125,Long Walk to Freedom,Nelson Mandela,English,1994,14 Million
126,The Old Man and the Sea,Ernest Hemingway,English,1952,13 Million
127,Life After Life,Raymond Moody,English,1975,13 Million
128,Mein Kampf,Adolf Hitler,German,1925,12.5 Million
129,Me Before You,Jojo Moyes,English,2012,12 Million
130,Norwegian Wood (ノルウェイの森),Haruki Murakami,Japanese,1987,12 Million
131,Peyton Place,Grace Metalious,English,1956,12.1 Million
132,The Plague (La Peste),Albert Camus,French,1947,12 Million
133,No Longer Human (人間失格),Osamu Dazai,Japanese,1948,12 Million
134,Man's Search for Meaning (Ein Psychologe erlebt das Konzentrationslager),Viktor Frankl,German,1946,12 Million
135,The Divine Comedy (La Divina Commedia),Dante Alighieri,Italian,1304,11–12 Million
136,Becoming,Michelle Obama,English,2018,11.5 Million
137,The Prophet,Kahlil Gibran,English,1923,11 Million
138,The Exorcist,William Peter Blatty,English,1971,11 Million
139,The Gruffalo,Julia Donaldson,English,1999,10.5 Million
140,Fifty Shades Darker,E. L. James,English,2012,10.4 Million
141,"Ronia, the Robber's Daughter",Astrid Lindgren,Swedish,1981,10 Million
142,The Cat in the Hat,Dr. Seuss,English,1957,10.5 Million
143,Diana: Her True Story,Andrew Morton,English,1992,10 Million
144,The Help,Kathryn Stockett,English,2009,10 Million
145,Catch-22,Joseph Heller,English,1961,10 Million
146,The Stranger (L'Étranger),Albert Camus,French,1942,10 Million
147,Eye of the Needle,Ken Follett,English,1978,10 Million
148,The Lovely Bones,Alice Sebold,English,2002,10 Million
149,Wild Swans,Jung Chang,English,1992,10 Million
150,Santa Evita,Tomás Eloy Martínez,Spanish,1995,10 Million
151,Night (Un di Velt Hot Geshvign),Elie Wiesel,Yiddish,1958,10 Million
152,Confucius from the Heart (于丹《论语》心得),Yu Dan,Chinese,2006,10 Million
153,The Total Woman,Marabel Morgan,English,1974,10 Million
154,Knowledge-value Revolution (知価革命),Taichi Sakaiya,Japanese,1985,10 Million
155,Problems in China's Socialist Economy (中国社会主义经济问题研究),Xue Muqiao,Chinese,1979,10 Million
156,What Color Is Your Parachute?,Richard Nelson Bolles,English,1970,10 Million
157,The Dukan Diet,Pierre Dukan,French,2000,10 Million
158,The Joy of Sex,Alex Comfort,English,1972,10 Million
159,The Gospel According to Peanuts,Robert L. Short,English,1965,10 Million
160,Life of Pi,Yann Martel,English,2001,10 Million
161,The Giver,Lois Lowry,English,1993,10 Million
162,The Front Runner,Patricia Nell Warren,English,1974,10 Million
163,The Goal,Eliyahu M. Goldratt,English,1984,10 Million
164,Fahrenheit 451,Ray Bradbury,English,1953,10 Million
165,Angela's Ashes,Frank McCourt,English,1996,10 Million
166,The Story of My Experiments with Truth (સત્યના પ્રયોગો અથવા આત્મકથા),Mohandas Karamchand Gandhi,Gujarati,1925-1929,10 million[175]
